year,interpolated,sigma_mean_CO2
67.88,405.14,0
67.79,403.64,0
67.71,403.38,0
67.62,405.07,0
67.54,407.07,0
67.46,408.84,0
67.38,409.65,0
67.29,409,0
67.21,407.18,0
67.12,406.42,0
67.04,406.13,0
66.96,404.42,0
66.88,403.53,0
66.79,401.57,0
66.71,401.03,0
66.62,402.25,0
66.54,404.39,0
66.46,406.81,0
66.38,407.7,0
66.29,407.42,0
66.21,404.83,0
66.12,404.04,0
66.04,402.52,0
65.96,401.85,0
65.88,400.16,0
65.79,398.29,0
65.71,397.63,0
65.62,398.93,0
65.54,401.31,0
65.46,402.8,0
65.38,403.96,0
65.29,403.28,0
65.21,401.54,0
65.12,400.28,0
65.04,399.98,0
64.96,398.91,0
64.88,397.28,0
64.79,396.03,0
64.71,395.38,0
64.62,397.03,0
64.54,399.1,0
64.46,401.25,0
64.38,401.78,0
64.29,401.38,0
64.21,399.77,0
64.12,398.01,0
64.04,397.85,0
63.96,396.84,0
63.88,395.16,0
63.79,393.7,0
63.71,393.45,0
63.62,395.2,0
63.54,397.32,0
63.46,398.61,0
63.38,399.78,0
63.29,398.41,0
63.21,397.43,0
63.12,396.8,0
63.04,395.55,0
62.96,394.34,0
62.88,392.98,0
62.79,391.05,0
62.71,391.11,0
62.62,392.39,0
62.54,394.36,0
62.46,395.71,0
62.38,396.74,0
62.29,396.18,0
62.21,394.4,0
62.12,393.86,0
62.04,393.12,0
61.96,391.86,0
61.88,390.28,0
61.79,389,0
61.71,389.08,0
61.62,390.13,0
61.54,392.51,0
61.46,393.73,0
61.38,394.19,0
61.29,393.25,0
61.21,392.6,0
61.12,391.86,0
61.04,391.33,0
60.96,389.79,0
60.88,388.67,0
60.79,387.24,0
60.71,386.85,0
60.62,388.35,0
60.54,390.2,0
60.46,392.15,0
60.38,393,0
60.29,392.46,0
60.21,391.17,0
60.12,390.2,0
60.04,388.71,0
59.96,387.42,0
59.88,386.02,0
59.79,384.43,0
59.71,384.74,0
59.62,386.11,0
59.54,388.03,0
59.46,389.48,0
59.38,390.14,0
59.29,389.55,0
59.21,388.82,0
59.12,387.48,0
59.04,386.94,0
58.96,385.56,0
58.88,384.19,0
58.79,382.99,0
58.71,383.18,0
58.62,384.09,0
58.54,386.35,0
